condition	vocab_id	code	description
diverticuli	medcodeid	303149013	Perforated diverticulum of jejunum
diverticuli	medcodeid	500628015	Diverticulitis of the ileum
diverticuli	medcodeid	303132018	Diverticulosis of the large intestine NOS
diverticuli	medcodeid	303154016	Perforated diverticulum of large intestine NOS
diverticuli	medcodeid	626561000006118	Divertic dis/both sml+lge intestin without perfor or abscess
diverticuli	medcodeid	626651000006119	Diverticulitis of the colon
diverticuli	medcodeid	626681000006110	Diverticulitis of the jejunum
diverticuli	SNOMEDCT	197083003	Diverticulosis of the duodenum
diverticuli	SNOMEDCT	197084009	Diverticulosis of the jejunum
diverticuli	SNOMEDCT	197107003	Perforated diverticulum of ileum
diverticuli	SNOMEDCT	235774002	Diverticular abscess
diverticuli	SNOMEDCT	307496006	Diverticulitis
diverticuli	SNOMEDCT	33838003	Diverticulitis of the duodenum
diverticuli	SNOMEDCT	76953007	Perforated diverticulum of colon
diverticuli	SNOMEDCT	21692001	Appendicular diverticulum
diverticuli	SNOMEDCT	397881000	Diverticular disease
diverticuli	SNOMEDCT	8114009	Diverticulosis of the small intestine unspecified
diverticuli	SNOMEDCT	398157006	Diverticulosis of the large intestine unspecified
diverticuli	SNOMEDCT	56165008	Diverticulitis of the small intestine unspecified
diverticuli	SNOMEDCT	56165008	Diverticulitis of the small intestine NOS
diverticuli	SNOMEDCT	4494009	Diverticulitis of the large intestine NOS
diverticuli	SNOMEDCT	307496006	Diverticulitis unspecified
diverticuli	SNOMEDCT	307496006	Diverticulitis NOS
diverticuli	SNOMEDCT	280993006	Perforated diverticulum of small intestine unspecified
diverticuli	SNOMEDCT	280993006	Perforated diverticulum of small intestine NOS
diverticuli	SNOMEDCT	280992001	Perforated diverticulum of large intestine unspecified
diverticuli	SNOMEDCT	63532004	Diverticula of the intestine NOS
diverticuli	SNOMEDCT	398050005	Diverticulosis of the colon
diverticuli	SNOMEDCT	386197003	Excision of diverticulum of colon
diverticuli	SNOMEDCT	397881000	Diverticulosis
diverticuli	SNOMEDCT	197104005	Perforated diverticulum unspecified
diverticuli	SNOMEDCT	397881000	Diverticulosis unspecified
diverticuli	SNOMEDCT	397881000	Diverticulosis NOS
diverticuli	SNOMEDCT	197092000	Bleeding diverticulosis
diverticuli	SNOMEDCT	197104005	Perforated diverticulum of intestine NOS
diverticuli	SNOMEDCT	8114009	Diverticulosis of the small intestine NOS
diverticuli	SNOMEDCT	4494009	Diverticulitis of the large intestine unspecified
diverticuli	SNOMEDCT	197085005	Diverticulosis of the ileum
diverticuli	SNOMEDCT	63532004	Diverticula of intestine
diverticuli	SNOMEDCT	197112002	Divertic disease/both sml+lge intestin with perforat+abscess
diverticuli	SNOMEDCT	197104005	Perforated diverticulum
diverticuli	SNOMEDCT	197105006	Perforated diverticulum of duodenum
diverticuli	SNOMEDCT	197106007	Perforated diverticulum of jejunum
diverticuli	SNOMEDCT	67153004	Diverticulitis of the ileum
diverticuli	SNOMEDCT	398157006	Diverticulosis of the large intestine NOS
diverticuli	SNOMEDCT	280992001	Perforated diverticulum of large intestine NOS
diverticuli	SNOMEDCT	197091007	Divertic dis/both sml+lge intestin without perfor or abscess
diverticuli	SNOMEDCT	111359004	Diverticulitis of the colon
diverticuli	SNOMEDCT	111358007	Diverticulitis of the jejunum
diverticuli	Read2_5digit	77180	Excision of diverticulum of colon
diverticuli	Read2_5digit	J23z3	Appendicular diverticulum
diverticuli	Read2_5digit	J51..	Diverticula of intestine
diverticuli	Read2_5digit	J510.	Diverticulosis
diverticuli	Read2_5digit	J5100	Diverticulosis of the duodenum
diverticuli	Read2_5digit	J5101	Diverticulosis of the jejunum
diverticuli	Read2_5digit	J5102	Diverticulosis of the ileum
diverticuli	Read2_5digit	J5103	Diverticulosis of the small intestine unspecified
diverticuli	Read2_5digit	J5104	Diverticulosis of the small intestine NOS
diverticuli	Read2_5digit	J5105	Diverticulosis of the colon
diverticuli	Read2_5digit	J5106	Diverticulosis of the large intestine unspecified
diverticuli	Read2_5digit	J5107	Diverticulosis of the large intestine NOS
diverticuli	Read2_5digit	J5108	Diverticular disease of both small and large intestine without perforation or abscess
diverticuli	Read2_5digit	J5109	Bleeding diverticulosis
diverticuli	Read2_5digit	J510y	Diverticulosis unspecified
diverticuli	Read2_5digit	J510z	Diverticulosis NOS
diverticuli	Read2_5digit	J511.	Diverticulitis
diverticuli	Read2_5digit	J5110	Diverticulitis of the duodenum
diverticuli	Read2_5digit	J5111	Diverticulitis of the jejunum
diverticuli	Read2_5digit	J5112	Diverticulitis of the ileum
diverticuli	Read2_5digit	J5113	Diverticulitis of the small intestine unspecified
diverticuli	Read2_5digit	J5114	Diverticulitis of the small intestine NOS
diverticuli	Read2_5digit	J5115	Diverticulitis of the colon
diverticuli	Read2_5digit	J5116	Diverticulitis of the large intestine unspecified
diverticuli	Read2_5digit	J5117	Diverticulitis of the large intestine NOS
diverticuli	Read2_5digit	J511y	Diverticulitis unspecified
diverticuli	Read2_5digit	J511z	Diverticulitis NOS
diverticuli	Read2_5digit	J512.	Perforated diverticulum
diverticuli	Read2_5digit	J5120	Perforated diverticulum of duodenum
diverticuli	Read2_5digit	J5121	Perforated diverticulum of jejunum
diverticuli	Read2_5digit	J5122	Perforated diverticulum of ileum
diverticuli	Read2_5digit	J5123	Perforated diverticulum of small intestine unspecified
diverticuli	Read2_5digit	J5124	Perforated diverticulum of small intestine NOS
diverticuli	Read2_5digit	J5125	Perforated diverticulum of colon
diverticuli	Read2_5digit	J5126	Perforated diverticulum of large intestine unspecified
diverticuli	Read2_5digit	J5127	Perforated diverticulum of large intestine NOS
diverticuli	Read2_5digit	J5128	Diverticular disease of both small and large intestine with perforation and abscess
diverticuli	Read2_5digit	J512y	Perforated diverticulum unspecified
diverticuli	Read2_5digit	J512z	Perforated diverticulum of intestine NOS
diverticuli	Read2_5digit	J513.	Diverticular abscess
diverticuli	Read2_5digit	J51z.	Diverticula of the intestine NOS
diverticuli	CTV3_5digit	77180	Excision of diverticulum of colon
diverticuli	CTV3_5digit	J23z3	Appendicular diverticulum
diverticuli	CTV3_5digit	XE2sf	Diverticular disorder of intestine
diverticuli	CTV3_5digit	X304P	Diverticular disease
diverticuli	CTV3_5digit	J5100	Diverticulosis of the duodenum
diverticuli	CTV3_5digit	J5101	Diverticulosis of the jejunum
diverticuli	CTV3_5digit	J5102	Diverticulosis of the ileum
diverticuli	CTV3_5digit	J5103	Diverticulosis of the small intestine unspecified
diverticuli	CTV3_5digit	J5104	Diverticulosis of the small intestine NOS
diverticuli	CTV3_5digit	J5105	Diverticulosis of the colon
diverticuli	CTV3_5digit	J5106	Diverticulosis of the large intestine unspecified
diverticuli	CTV3_5digit	J5107	Diverticulosis of the large intestine NOS
diverticuli	CTV3_5digit	J5108	Diverticular disease of both small and large intestine without perforation or abscess
diverticuli	CTV3_5digit	J5109	Bleeding diverticulosis
diverticuli	CTV3_5digit	J510y	Diverticulosis unspecified
diverticuli	CTV3_5digit	J510z	Diverticulosis NOS
diverticuli	CTV3_5digit	XaB8Z	Diverticulitis
diverticuli	CTV3_5digit	J5110	Diverticulitis of the duodenum
diverticuli	CTV3_5digit	J5111	Diverticulitis of the jejunum
diverticuli	CTV3_5digit	J5112	Diverticulitis of the ileum
diverticuli	CTV3_5digit	J5113	Diverticulitis of the small intestine unspecified
diverticuli	CTV3_5digit	J5114	Diverticulitis of the small intestine NOS
diverticuli	CTV3_5digit	J5115	Diverticulitis of colon
diverticuli	CTV3_5digit	J5116	Diverticulitis of the large intestine unspecified
diverticuli	CTV3_5digit	J5117	Diverticulitis of the large intestine NOS
diverticuli	CTV3_5digit	J511y	Diverticulitis unspecified
diverticuli	CTV3_5digit	J511z	Diverticulitis NOS
diverticuli	CTV3_5digit	J512.	Perforated diverticulum
diverticuli	CTV3_5digit	J5120	Perforated diverticulum of duodenum
diverticuli	CTV3_5digit	J5121	Perforated diverticulum of jejunum
diverticuli	CTV3_5digit	J5122	Perforated diverticulum of ileum
diverticuli	CTV3_5digit	J5123	Perforated diverticulum of small intestine unspecified
diverticuli	CTV3_5digit	J5124	Perforated diverticulum of small intestine NOS
diverticuli	CTV3_5digit	J5125	Perforated diverticulum of colon
diverticuli	CTV3_5digit	J5126	Perforated diverticulum of large intestine unspecified
diverticuli	CTV3_5digit	J5127	Perforated diverticulum of large intestine NOS
diverticuli	CTV3_5digit	J5128	Diverticular disease of both small and large intestine with perforation and abscess
diverticuli	CTV3_5digit	J512y	Perforated diverticulum unspecified
diverticuli	CTV3_5digit	J512z	Perforated diverticulum of intestine NOS
diverticuli	CTV3_5digit	X304R	Diverticular abscess
diverticuli	CTV3_5digit	J51z.	Diverticula of the intestine NOS
